execution_order,score_drop_rank,condition,family,kind,n_features,runs,mean_score_delta,std_score_delta,score_delta_sem,score_delta_ci95,mean_score_delta_pct,mean_lines_delta,std_lines_delta,mean_score,std_score,median_score,mean_lines,mean_pieces,baseline_mean_score,baseline_mean_lines,feature_indices,feature_names
46,86,horizontal_hole_edge_distance_row_0,horizontal_hole_edge_distance,individual,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.4,693.4485918184199,480.0,13.36,72.07,692.4,13.36,45,horizontal_hole_edge_distance_row_0
47,81,horizontal_hole_edge_distance_row_1,horizontal_hole_edge_distance,individual,1.0,100.0,24.8,171.7672844286711,17.17672844286711,33.66638774801953,3.5817446562680533,0.62,3.946050320423338,667.6,673.4670134325944,420.0,12.74,70.46,692.4,13.36,46,horizontal_hole_edge_distance_row_1
48,68,horizontal_hole_edge_distance_row_2,horizontal_hole_edge_distance,individual,1.0,100.0,52.2,300.6913918477101,30.06913918477101,58.93551280215118,7.538994800693241,0.96,5.090930735884722,640.2,647.4534108273114,400.0,12.4,69.47,692.4,13.36,47,horizontal_hole_edge_distance_row_2
49,71,horizontal_hole_edge_distance_row_3,horizontal_hole_edge_distance,individual,1.0,100.0,43.4,427.40518471257684,42.74051847125769,83.77141620366507,6.268053148469093,0.61,6.701266275635501,649.0,607.5642710317513,450.0,12.75,70.19,692.4,13.36,48,horizontal_hole_edge_distance_row_3
50,23,horizontal_hole_edge_distance_row_4,horizontal_hole_edge_distance,individual,1.0,100.0,160.8,537.5433832621222,53.75433832621222,105.35850311937595,23.22357019064125,2.62,8.017380110633637,531.6,535.7911548506205,390.0,10.74,65.15,692.4,13.36,49,horizontal_hole_edge_distance_row_4
51,35,horizontal_hole_edge_distance_row_5,horizontal_hole_edge_distance,individual,1.0,100.0,136.0,562.9073160518047,56.290731605180476,110.32983394615373,19.641825534373194,3.08,8.861082771241215,556.4,545.5597070343391,380.0,10.28,63.58,692.4,13.36,50,horizontal_hole_edge_distance_row_5
52,5,horizontal_hole_edge_distance_row_6,horizontal_hole_edge_distance,individual,1.0,100.0,282.2,569.5143775732323,56.951437757323234,111.62481800435354,40.75678798382438,5.03,9.552042459679246,410.2,376.03454601669216,300.0,8.33,58.53,692.4,13.36,51,horizontal_hole_edge_distance_row_6
53,3,horizontal_hole_edge_distance_row_7,horizontal_hole_edge_distance,individual,1.0,100.0,340.2,648.5196507228885,64.85196507228885,127.10985154168614,49.13344887348354,6.51,10.314738890725174,352.2,378.2564465993136,250.0,6.85,55.14,692.4,13.36,52,horizontal_hole_edge_distance_row_7
54,52,horizontal_hole_edge_distance_row_8,horizontal_hole_edge_distance,individual,1.0,100.0,93.0,932.8413205325594,93.28413205325595,182.83689882438165,13.4315424610052,2.7,13.710940849916135,599.4,723.7023496639284,350.0,10.66,65.21,692.4,13.36,53,horizontal_hole_edge_distance_row_8
55,4,horizontal_hole_edge_distance_row_9,horizontal_hole_edge_distance,individual,1.0,100.0,310.6,652.370688452137,65.2370688452137,127.86465493661885,44.858463316002315,5.51,11.011926500505043,381.8,336.09877095637205,310.0,7.85,57.65,692.4,13.36,54,horizontal_hole_edge_distance_row_9
