rank,condition,kind,n_features,runs,mean_score,std_score,median_score,mean_lines,std_lines,mean_pieces,truncated_runs,baseline_mean_score,baseline_mean_lines,mean_score_delta,std_score_delta,mean_score_delta_pct,mean_lines_delta,std_lines_delta,feature_indices,feature_names
76,mean_height,individual,1,100,655.2,617.0645399507628,470.0,12.48,9.906104637591362,69.82,0,692.4,13.36,37.2,769.8931842479936,5.372616984402081,0.88,13.103534876613496,11,mean_height
77,holeyness_col_0,individual,1,100,657.4,728.843861013711,390.0,13.08,12.397197467593434,70.91,0,692.4,13.36,35.0,813.2954536633627,5.054881571346043,0.28,12.777884935870391,15,holeyness_col_0
78,holeyness_col_8,individual,1,100,657.4,802.3987018731253,360.0,11.82,11.635351913088583,67.96,0,692.4,13.36,35.0,903.990591709333,5.054881571346043,1.54,13.66217220997267,23,holeyness_col_8
79,horizontal_hole_edge_distance_row_17,individual,1,100,661.0,706.0796589964087,470.0,13.19,12.131181127802666,71.58,0,692.4,13.36,31.4,914.0353639026482,4.534950895436165,0.17,15.187750912422082,62,horizontal_hole_edge_distance_row_17
80,horizontal_hole_clusteredness_row_14,individual,1,100,662.6,749.516504087128,420.0,12.45,12.392874296680867,69.34,0,692.4,13.36,29.8,804.2337214938694,4.303870595031774,0.91,14.18285705855609,79,horizontal_hole_clusteredness_row_14
81,horizontal_hole_edge_distance_row_1,individual,1,100,667.6,673.4670134325944,420.0,12.74,10.350054896648441,70.46,0,692.4,13.36,24.8,171.7672844286711,3.5817446562680533,0.62,3.946050320423338,46,horizontal_hole_edge_distance_row_1
82,holeyness_col_6,individual,1,100,670.0,848.5067096750835,420.0,12.41,13.591511759888666,69.32,0,692.4,13.36,22.4,1017.123215920095,3.2351242056614673,0.95,15.18330755411443,21,holeyness_col_6
83,horizontal_hole_edge_distance_row_13,individual,1,100,679.6,663.8058618468372,470.0,12.53,10.332311777461356,69.69,0,692.4,13.36,12.8,813.4501654786061,1.8486424032351243,0.83,12.202049008260868,58,horizontal_hole_edge_distance_row_13
84,horizontal_hole_clusteredness_row_1,individual,1,100,685.8,694.8194736837052,460.0,13.12,11.094889168286706,71.44,0,692.4,13.36,6.6,78.16351676796121,0.953206239168111,0.24,1.4915248789901108,66,horizontal_hole_clusteredness_row_1
85,horizontal_hole_clusteredness_row_2,individual,1,100,686.6,667.381767987727,520.0,13.1,10.702119114238709,71.5,0,692.4,13.36,5.8,223.18710726313213,0.8376660889659157,0.26,3.0604020334035535,67,horizontal_hole_clusteredness_row_2
86,horizontal_hole_edge_distance_row_0,individual,1,100,692.4,693.4485918184199,480.0,13.36,11.133278896618867,72.07,0,692.4,13.36,0.0,0.0,0.0,0.0,0.0,45,horizontal_hole_edge_distance_row_0
87,horizontal_hole_clusteredness_row_0,individual,1,100,692.4,693.4485918184199,480.0,13.36,11.133278896618867,72.07,0,692.4,13.36,0.0,0.0,0.0,0.0,0.0,65,horizontal_hole_clusteredness_row_0
88,hole_edge_distance_deviation,individual,1,100,698.2,606.3508668562895,560.0,13.37,11.057841497591589,72.16,0,692.4,13.36,-5.8,851.1586636503624,-0.8376660889659157,-0.01,14.195955463270217,91,hole_edge_distance_deviation
89,fill_height_col_9,individual,1,100,701.8,745.9471370768382,460.0,12.94,12.688036200541935,70.66,0,692.4,13.36,-9.4,940.9836031590249,-1.3575967648757943,0.42,16.03920701332088,9,fill_height_col_9
90,hole_horizontal_instability,individual,1,100,706.6,800.4395509640156,440.0,13.11,12.676148763514393,71.25,0,692.4,13.36,-14.2,965.1766782315143,-2.050837666088966,0.25,16.270053671228208,92,hole_horizontal_instability
91,holeyness_col_2,individual,1,100,710.0,867.6334933529703,520.0,13.25,12.89693018050451,71.54,0,692.4,13.36,-17.6,965.7415845249743,-2.5418833044482962,0.11,15.40031155397825,17,holeyness_col_2
92,general_hole_clusteredness,individual,1,100,723.6,663.5160704591682,510.0,14.3,11.750349231861454,74.5,0,692.4,13.36,-31.2,991.113321553906,-4.506065857885615,-0.94,17.157511533442197,94,general_hole_clusteredness
93,vertical_hole_clusteredness_col_1,individual,1,100,724.2,952.4886913085672,420.0,13.49,15.840425843678917,72.08,0,692.4,13.36,-31.8,992.5341303955245,-4.592720970537262,-0.13,17.166243007423,36,vertical_hole_clusteredness_col_1
94,horizontal_hole_clusteredness_row_19,individual,1,100,781.4,805.4323388871671,540.0,14.24,12.37880234411825,74.35,0,692.4,13.36,-89.0,910.0443989612859,-12.853841709994223,-0.88,14.474135762131224,84,horizontal_hole_clusteredness_row_19
95,horizontal_hole_edge_distance_row_19,individual,1,100,868.0,981.7280168101036,450.0,15.58,14.38516351290208,77.4,0,692.4,13.36,-175.6,863.3670521085842,-25.361062969381862,-2.22,12.509051268436133,64,horizontal_hole_edge_distance_row_19
